rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
444,7,"French Cancan",1955,http://www.icheckmovies.com/movies/french+cancan/,1124,73,12,9,275,,http://www.imdb.com/title/tt0046998/,no,no,no,no,no
445,-11,"Tini zabutykh predkiv",1965,http://www.icheckmovies.com/movies/tini+zabutykh+predkiv/,1719,248,25,12,424,"Shadows of Forgotten Ancestors",http://www.imdb.com/title/tt0058642/,"2020-11-24 04:55:37",yes,no,no,no
446,41,Carrie,1976,http://www.icheckmovies.com/movies/carrie/,33321,1516,175,11,897,,http://www.imdb.com/title/tt0074285/,"2012-03-14 22:10:11",yes,no,no,no
447,74,"Boogie Nights",1997,http://www.icheckmovies.com/movies/boogie+nights/,29664,2534,139,12,832,,http://www.imdb.com/title/tt0118749/,"2012-03-14 22:10:13",no,no,no,no
448,11,"The Act of Killing",2012,http://www.icheckmovies.com/movies/the+act+of+killing/,6165,779,30,9,620,,http://www.imdb.com/title/tt2375605/,"2014-01-26 21:40:59",no,no,no,no
449,-14,"The Shawshank Redemption",1994,http://www.icheckmovies.com/movies/the+shawshank+redemption/,114297,17276,402,24,1572,,http://www.imdb.com/title/tt0111161/,"2012-03-14 22:10:26",yes,no,no,no
450,15,"Listen to Britain",1942,http://www.icheckmovies.com/movies/listen+to+britain/,1512,36,27,7,202,,http://www.imdb.com/title/tt0034978/,no,no,no,no,no
451,6,"Sånger från andra våningen",2000,http://www.icheckmovies.com/movies/sanger+fran+andra+vaningen/,3374,437,49,15,452,"Songs from the Second Floor",http://www.imdb.com/title/tt0120263/,"2015-02-14 03:06:23",yes,no,no,no
452,2,"Ivanovo detstvo",1962,http://www.icheckmovies.com/movies/ivanovo+detstvo/,4613,575,31,13,533,"Ivan's Childhood",http://www.imdb.com/title/tt0056111/,"2012-03-14 22:10:04",no,no,no,no
453,-15,Accattone,1961,http://www.icheckmovies.com/movies/accattone/,1575,144,17,8,347,,http://www.imdb.com/title/tt0054599/,no,no,no,yes,no
454,-8,Limelight,1952,http://www.icheckmovies.com/movies/limelight/,3651,412,25,12,425,,http://www.imdb.com/title/tt0044837/,"2012-03-14 22:10:06",yes,no,no,no
455,-14,"The Cameraman",1928,http://www.icheckmovies.com/movies/the+cameraman/,3918,403,21,14,419,,http://www.imdb.com/title/tt0018742/,"2015-01-22 21:23:15",no,no,no,no
456,-16,"The Scarlet Empress",1934,http://www.icheckmovies.com/movies/the+scarlet+empress/,2048,171,24,12,422,,http://www.imdb.com/title/tt0025746/,no,no,no,yes,no
457,-13,"La terra trema",1948,http://www.icheckmovies.com/movies/la+terra+trema/,1211,104,10,11,347,"The Earth Trembles",http://www.imdb.com/title/tt0040866/,no,no,no,no,no
458,-10,"The Wind",1928,http://www.icheckmovies.com/movies/the+wind/,2022,258,13,14,487,,http://www.imdb.com/title/tt0019585/,no,no,no,no,no
459,15,"Sang sattawat",2006,http://www.icheckmovies.com/movies/sang+sattawat/,1440,166,13,7,334,"Syndromes and a Century",http://www.imdb.com/title/tt0477731/,no,no,no,no,no
460,-11,"Le crime de Monsieur Lange",1936,http://www.icheckmovies.com/movies/le+crime+de+monsieur+lange/,1092,60,14,7,303,"The Crime of Monsieur Lange",http://www.imdb.com/title/tt0027478/,"2019-12-15 06:44:08",no,no,no,no
461,-5,Festen,1998,http://www.icheckmovies.com/movies/festen/,12553,1593,76,19,785,"The Celebration",http://www.imdb.com/title/tt0154420/,"2012-03-14 22:10:04",yes,no,no,no
462,1,Oktyabr,1927,http://www.icheckmovies.com/movies/oktyabr/,2149,79,25,12,400,"October (Ten Days that Shook the World)",http://www.imdb.com/title/tt0018217/,no,no,no,no,no
463,-20,"Hai shang hua",1998,http://www.icheckmovies.com/movies/hai+shang+hua/,845,61,6,8,294,"Flowers of Shanghai",http://www.imdb.com/title/tt0156587/,no,no,no,no,no
464,-6,"Le voyage dans la lune",1902,http://www.icheckmovies.com/movies/le+voyage+dans+la+lune/,18849,1141,53,14,613,"A Trip to the Moon",http://www.imdb.com/title/tt0000417/,"2012-03-14 22:10:23",yes,no,no,no
465,6,"No Quarto da Vanda",2000,http://www.icheckmovies.com/movies/no+quarto+da+vanda/,640,43,21,6,261,"In Vanda's Room",http://www.imdb.com/title/tt0139500/,no,no,no,yes,no
466,1,"El laberinto del fauno",2006,http://www.icheckmovies.com/movies/el+laberinto+del+fauno/,74831,8360,528,34,1488,"Pan's Labyrinth",http://www.imdb.com/title/tt0457430/,"2012-03-14 22:10:27",yes,no,no,no
467,-15,"À nos amours",1983,http://www.icheckmovies.com/movies/a+nos+amours/,1482,108,17,10,311,"À Nos Amours",http://www.imdb.com/title/tt0086650/,no,no,no,no,no
468,-15,Koyaanisqatsi,1982,http://www.icheckmovies.com/movies/koyaanisqatsi/,7261,906,59,12,546,,http://www.imdb.com/title/tt0085809/,"2015-12-27 19:29:06",yes,no,no,no
469,-8,"Dersu Uzala",1975,http://www.icheckmovies.com/movies/dersu+uzala/,3987,604,30,11,554,,http://www.imdb.com/title/tt0071411/,"2012-03-14 22:10:09",yes,no,no,no
470,-1,Pinocchio,1940,http://www.icheckmovies.com/movies/pinocchio/,67299,1214,175,16,717,,http://www.imdb.com/title/tt0032910/,"2012-03-14 22:10:25",no,no,no,no
471,13,Lola,1961,http://www.icheckmovies.com/movies/lola/,2254,160,14,11,369,,http://www.imdb.com/title/tt0055093/,no,no,no,yes,no
472,-10,"Hotaru no haka",1988,http://www.icheckmovies.com/movies/hotaru+no+haka/,26079,3392,158,21,1014,"Grave of the Fireflies",http://www.imdb.com/title/tt0095327/,"2012-03-14 22:10:28",yes,no,no,no
473,15,"Vidas Secas",1963,http://www.icheckmovies.com/movies/vidas+secas/,993,54,11,7,283,"Barren Lives",http://www.imdb.com/title/tt0057654/,no,no,no,no,no
474,5,"The Dead",1987,http://www.icheckmovies.com/movies/the+dead/,2290,147,28,10,355,,http://www.imdb.com/title/tt0092843/,no,no,no,no,no
475,-15,"Tirez sur le pianiste",1960,http://www.icheckmovies.com/movies/tirez+sur+le+pianiste/,4085,343,27,10,486,"Shoot the Piano Player",http://www.imdb.com/title/tt0054389/,"2012-03-14 22:10:17",yes,no,no,no
476,9,Zhantai,2000,http://www.icheckmovies.com/movies/zhantai/,960,75,14,11,304,Platform,http://www.imdb.com/title/tt0258885/,"2017-06-18 18:05:48",no,no,no,no
477,15,"Bir Zamanlar Anadolu'da",2011,http://www.icheckmovies.com/movies/bir+zamanlar+anadoluda/,3344,472,33,8,481,"Once Upon a Time in Anatolia",http://www.imdb.com/title/tt1827487/,"2014-01-09 04:26:36",no,no,no,no
478,-1,Elephant,2003,http://www.icheckmovies.com/movies/elephant/,16546,1217,242,10,536,,http://www.imdb.com/title/tt0363589/,"2012-03-14 22:10:19",yes,no,no,no
