rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,Inception,2010,http://www.icheckmovies.com/movies/inception/,135035,16820,947,22,1673,,http://www.imdb.com/title/tt1375666/,"2012-03-14 22:10:26",yes,no,no,no
2,0,Interstellar,2014,http://www.icheckmovies.com/movies/interstellar/,42791,4914,387,14,1041,,http://www.imdb.com/title/tt0816692/,"2015-01-22 03:20:28",yes,no,no,no
3,0,Gisaengchung,2019,http://www.icheckmovies.com/movies/gisaengchung/,14241,2297,40,23,815,Parasite,http://www.imdb.com/title/tt6751668/,"2019-12-29 02:59:23",no,no,no,no
4,0,Whiplash,2014,http://www.icheckmovies.com/movies/whiplash-2014/,31448,4460,178,15,1014,,http://www.imdb.com/title/tt2582802/,"2015-01-08 05:53:11",yes,no,no,no
5,0,"Django Unchained",2012,http://www.icheckmovies.com/movies/django+unchained/,65248,6783,280,13,1206,,http://www.imdb.com/title/tt1853728/,"2013-01-20 22:55:33",yes,no,no,no
6,0,Intouchables,2011,http://www.icheckmovies.com/movies/intouchables/,35323,4304,180,7,678,"The Intouchables",http://www.imdb.com/title/tt1675434/,"2012-05-09 06:03:37",no,no,no,no
7,0,"Avengers: Endgame",2019,http://www.icheckmovies.com/movies/avengers+endgame/,15367,1015,154,7,507,,http://www.imdb.com/title/tt4154796/,"2019-08-10 18:17:05",no,no,no,no
8,0,"The Dark Knight Rises",2012,http://www.icheckmovies.com/movies/the+dark+knight+rises/,74288,5235,610,8,971,,http://www.imdb.com/title/tt1345836/,"2012-12-01 03:22:06",yes,no,no,no
9,0,"Spider-Man: Into the Spider-Verse",2018,http://www.icheckmovies.com/movies/spider-man+into+the+spider-verse/,14891,1756,48,20,620,,http://www.imdb.com/title/tt4633694/,"2019-01-15 01:48:20",yes,no,no,no
10,0,"Avengers: Infinity War",2018,http://www.icheckmovies.com/movies/avengers+infinity+war/,18730,1278,154,8,518,,http://www.imdb.com/title/tt4154756/,"2018-08-03 07:15:35",no,no,no,no
11,0,"Kimi no na wa.",2016,http://www.icheckmovies.com/movies/kimi+no+na+wa./,8934,1243,54,13,520,"Your Name.",http://www.imdb.com/title/tt5311514/,"2017-09-04 02:29:33",yes,no,no,no
12,0,Coco,2017,http://www.icheckmovies.com/movies/coco-2017/,16191,1531,57,14,560,,http://www.imdb.com/title/tt2380307/,"2017-12-11 21:35:49",yes,no,no,no
13,0,Capharnaüm,2018,http://www.icheckmovies.com/movies/capharnaum/,2575,353,20,8,286,Capernaum,http://www.imdb.com/title/tt8267604/,"2024-12-26 23:15:52",yes,no,no,no
14,0,Incendies,2010,http://www.icheckmovies.com/movies/incendies/,9999,1494,71,11,547,,http://www.imdb.com/title/tt1255953/,"2012-03-14 22:10:05",no,no,no,no
15,0,Jagten,2012,http://www.icheckmovies.com/movies/jagten/,14794,2374,63,9,747,"The Hunt",http://www.imdb.com/title/tt2106476/,"2013-08-18 20:57:31",yes,no,no,no
16,0,Joker,2019,http://www.icheckmovies.com/movies/joker-2019/,16815,1488,190,12,523,,http://www.imdb.com/title/tt7286456/,"2019-10-20 04:22:19",no,no,no,no
17,0,"Toy Story 3",2010,http://www.icheckmovies.com/movies/toy+story+3/,106017,6671,337,17,1107,,http://www.imdb.com/title/tt0435761/,"2012-03-14 22:10:26",yes,no,no,no
18,0,"Jodaeiye Nader az Simin",2011,http://www.icheckmovies.com/movies/jodaeiye+nader+az+simin/,11589,1782,76,16,904,"A Separation",http://www.imdb.com/title/tt1832382/,"2012-03-14 22:10:04",yes,no,no,no
19,0,Dangal,2016,http://www.icheckmovies.com/movies/dangal/,2268,156,41,6,157,,http://www.imdb.com/title/tt5074352/,"2018-01-01 07:06:44",no,no,no,no
20,0,"The Wolf of Wall Street",2013,http://www.icheckmovies.com/movies/the+wolf+of+wall+street-2013/,48699,3652,423,13,1039,,http://www.imdb.com/title/tt0993846/,"2014-01-15 14:14:28",yes,no,no,no
21,0,Prisoners,2013,http://www.icheckmovies.com/movies/prisoners-2013/,23034,2198,120,8,713,,http://www.imdb.com/title/tt1392214/,"2013-12-26 22:02:51",yes,no,no,no
22,0,"Shutter Island",2010,http://www.icheckmovies.com/movies/shutter+island/,90177,7010,614,8,903,,http://www.imdb.com/title/tt1130884/,"2012-03-14 22:10:26",no,no,no,no
23,0,"Green Book",2018,http://www.icheckmovies.com/movies/green+book/,10118,768,92,12,342,,http://www.imdb.com/title/tt6966692/,"2019-02-23 21:58:26",no,no,no,no
24,0,1917,2019,http://www.icheckmovies.com/movies/1917/,10266,975,41,11,460,,http://www.imdb.com/title/tt8579674/,"2020-07-06 04:31:12",no,no,no,no
25,0,"Koe no katachi",2016,http://www.icheckmovies.com/movies/koe+no+katachi/,2126,259,21,5,225,"A Silent Voice: The Movie",http://www.imdb.com/title/tt5323662/,"2017-10-02 06:24:54",no,no,no,no
26,0,Klaus,2019,http://www.icheckmovies.com/movies/klaus/,5499,457,22,9,237,,http://www.imdb.com/title/tt4729430/,"2019-11-16 06:20:08",no,no,no,no
27,0,"Gangs of Wasseypur",2012,http://www.icheckmovies.com/movies/gangs+of+wasseypur/,1676,154,71,10,218,,http://www.imdb.com/title/tt1954470/,"2013-01-20 22:55:33",no,no,no,no
28,0,"Gone Girl",2014,http://www.icheckmovies.com/movies/gone+girl/,34782,3289,236,12,830,,http://www.imdb.com/title/tt2267998/,"2014-12-31 04:21:07",yes,no,no,no
29,0,Ah-ga-ssi,2016,http://www.icheckmovies.com/movies/ah-ga-ssi/,6805,1085,38,14,612,"The Handmaiden",http://www.imdb.com/title/tt4016934/,"2018-02-03 00:24:39",yes,no,no,no
