rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
33,0,Aladdin,1992,http://www.icheckmovies.com/movies/aladdin/,99315,4034,180,14,718,,http://www.imdb.com/title/tt0103639/,"2012-03-14 22:10:24",no,no,no,no
34,0,Akira,1988,http://www.icheckmovies.com/movies/akira/,30734,2997,245,23,955,,http://www.imdb.com/title/tt0094625/,"2012-03-14 22:10:26",yes,no,no,no
35,0,"Kaze no tani no Naushika",1984,http://www.icheckmovies.com/movies/kaze+no+tani+no+naushika/,19583,2011,109,9,678,"Nausicaä of the Valley of the Wind",http://www.imdb.com/title/tt0087544/,"2012-03-14 22:10:26",yes,no,no,no
36,0,"Tenkû no shiro Rapyuta",1986,http://www.icheckmovies.com/movies/tenku+no+shiro+rapyuta/,21107,1712,70,9,620,"Castle in the Sky",http://www.imdb.com/title/tt0092067/,"2012-03-14 22:10:26",yes,no,no,no
37,0,"Kaguya-hime no monogatari",2013,http://www.icheckmovies.com/movies/kaguya-hime+no+monogatari/,4595,529,28,8,518,"The Tale of The Princess Kaguya",http://www.imdb.com/title/tt2576852/,"2015-01-12 05:12:42",no,no,no,no
38,0,WolfWalkers,2020,http://www.icheckmovies.com/movies/wolfwalkers/,1620,182,5,9,296,Wolfwalkers,http://www.imdb.com/title/tt5198068/,"2021-04-20 01:48:28",yes,no,no,no
39,0,Persepolis,2007,http://www.icheckmovies.com/movies/persepolis/,18758,1919,75,12,596,,http://www.imdb.com/title/tt0808417/,"2012-03-14 22:10:27",yes,no,no,no
40,0,"Song of the Sea",2014,http://www.icheckmovies.com/movies/song+of+the+sea-2014/,4928,663,23,7,359,,http://www.imdb.com/title/tt1865505/,"2015-03-18 22:18:23",yes,no,no,no
41,0,"Tim Burton's the Nightmare Before Christmas",1993,http://www.icheckmovies.com/movies/tim+burtons+the+nightmare+before+christmas/,79191,5711,462,16,890,"The Nightmare Before Christmas",http://www.imdb.com/title/tt0107688/,"2012-03-14 22:10:27",yes,no,no,no
42,0,Straume,2024,http://www.icheckmovies.com/movies/straume/,1899,193,3,8,163,Flow,http://www.imdb.com/title/tt4772188/,"2025-01-25 15:20:00",yes,no,no,no
43,0,Shrek,2001,http://www.icheckmovies.com/movies/shrek/,112897,3744,449,13,799,,http://www.imdb.com/title/tt0126029/,"2012-03-14 22:10:24",no,yes,no,no
44,0,"Fantastic Mr. Fox",2009,http://www.icheckmovies.com/movies/fantastic+mr.+fox/,41504,3866,246,9,709,,http://www.imdb.com/title/tt0432283/,"2012-03-14 22:10:24",yes,no,no,no
45,0,"Kôkaku Kidôtai",1995,http://www.icheckmovies.com/movies/kokaku+kidotai/,17859,1543,121,12,661,"Ghost in the Shell",http://www.imdb.com/title/tt0113568/,"2012-03-14 22:10:26",yes,no,no,no
46,0,"Toy Story 2",1999,http://www.icheckmovies.com/movies/toy+story+2/,107263,3737,230,13,850,,http://www.imdb.com/title/tt0120363/,"2012-03-14 22:10:27",no,no,no,no
47,0,"Evangelion Shin Gekijôban: Ha",2009,http://www.icheckmovies.com/movies/evangelion+shin+gekijoban+ha/,4292,269,54,1,137,"Evangelion: 2.0 You Can (Not) Advance",http://www.imdb.com/title/tt0860906/,"2012-03-14 22:10:18",yes,no,no,no
48,0,"Big Hero 6",2014,http://www.icheckmovies.com/movies/big+hero+6/,21930,1476,104,3,431,,http://www.imdb.com/title/tt2245084/,"2014-12-27 02:23:43",yes,no,no,no
49,0,"Puss in Boots: The Last Wish",2022,http://www.icheckmovies.com/movies/puss+in+boots+the+last+wish/,2735,223,11,4,152,,http://www.imdb.com/title/tt3915174/,"2023-02-03 19:42:17",no,no,no,no
50,0,Coraline,2009,http://www.icheckmovies.com/movies/coraline/,32860,2289,194,5,528,,http://www.imdb.com/title/tt0327597/,"2012-03-14 22:10:17",no,no,no,no
