rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
118,-5,"La commune (Paris, 1871)",2000,http://www.icheckmovies.com/movies/la+commune+paris+1871/,447,53,13,6,281,"La Commune (Paris, 1871)",http://www.imdb.com/title/tt0257497/,no,no,no,yes,no
119,-1,"Adieu au langage",2014,http://www.icheckmovies.com/movies/adieu+au+langage/,1205,56,68,7,268,"Goodbye to Language",http://www.imdb.com/title/tt2400275/,no,no,no,no,no
120,-1,"Meek's Cutoff",2010,http://www.icheckmovies.com/movies/meeks+cutoff/,2254,140,44,6,329,,http://www.imdb.com/title/tt1518812/,"2012-03-14 22:10:05",no,no,no,no
121,-1,"Small Axe: Lovers Rock",2020,http://www.icheckmovies.com/movies/small+axe+lovers+rock/,721,59,5,7,128,,http://www.imdb.com/title/tt10551102/,no,no,no,no,no
122,0,"Cike Nie Yin Niang",2015,http://www.icheckmovies.com/movies/cike+nie+yin+niang/,1711,101,31,4,312,"The Assassin",http://www.imdb.com/title/tt3508840/,no,no,no,no,no
123,11,"Lady Bird",2017,http://www.icheckmovies.com/movies/lady+bird/,11859,875,99,12,541,,http://www.imdb.com/title/tt4925292/,"2018-02-27 14:35:34",no,no,no,no
124,18,Avatar,2009,http://www.icheckmovies.com/movies/avatar/,113475,4825,3258,14,955,,http://www.imdb.com/title/tt0499549/,"2012-03-14 22:10:26",no,yes,no,no
125,-2,"Far from Heaven",2002,http://www.icheckmovies.com/movies/far+from+heaven/,5985,326,45,10,434,,http://www.imdb.com/title/tt0297884/,no,no,no,no,no
126,-5,"Copie conforme",2010,http://www.icheckmovies.com/movies/copie+conforme/,3291,390,47,8,455,"Certified Copy",http://www.imdb.com/title/tt1020773/,no,no,no,yes,no
127,8,"12 Years a Slave",2013,http://www.icheckmovies.com/movies/12+years+a+slave/,31247,2160,166,22,959,,http://www.imdb.com/title/tt2024544/,"2014-02-10 01:00:17",no,no,no,no
128,-4,Leviathan,2012,http://www.icheckmovies.com/movies/leviathan-2012/,1307,103,27,5,310,,http://www.imdb.com/title/tt2332522/,no,no,no,no,no
129,-4,"Rak ti Khon Kaen",2015,http://www.icheckmovies.com/movies/rak+ti+khon+kaen/,842,71,10,4,221,"Cemetery of Splendor",http://www.imdb.com/title/tt2818654/,no,no,no,no,no
130,-3,2046,2004,http://www.icheckmovies.com/movies/2046/,6022,632,74,6,508,,http://www.imdb.com/title/tt0212712/,"2012-03-14 22:10:25",yes,no,no,no
131,-3,"Inside Llewyn Davis",2013,http://www.icheckmovies.com/movies/inside+llewyn+davis/,14042,1231,97,8,649,,http://www.imdb.com/title/tt2042568/,"2014-02-21 19:27:20",no,no,no,no
132,5,"Shaun of the Dead",2004,http://www.icheckmovies.com/movies/shaun+of+the+dead/,77927,7044,407,13,982,,http://www.imdb.com/title/tt0365748/,"2012-03-14 22:10:24",no,no,no,no
133,-7,"Bom yeoreum gaeul gyeoul geurigo bom",2003,http://www.icheckmovies.com/movies/bom+yeoreum+gaeul+gyeoul+geurigo+bom/,8431,1248,71,13,572,"Spring, Summer, Fall, Winter... and Spring",http://www.imdb.com/title/tt0374546/,"2012-03-14 22:10:25",yes,no,no,no
