rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
39,0,"Donnie Darko",2001,http://www.icheckmovies.com/movies/donnie+darko/,91800,9990,1028,21,1248,,http://www.imdb.com/title/tt0246578/,"2012-03-14 22:10:27",yes,no,no,no
40,0,"The Avengers",2012,http://www.icheckmovies.com/movies/the+avengers-2012/,71509,4822,761,6,979,,http://www.imdb.com/title/tt0848228/,"2012-08-25 05:49:07",no,no,no,no
41,0,Deadpool,2016,http://www.icheckmovies.com/movies/deadpool/,26656,2079,248,3,496,,http://www.imdb.com/title/tt1431045/,"2016-05-08 01:00:19",yes,no,no,no
42,0,Her,2013,http://www.icheckmovies.com/movies/her-2013/,33146,4049,300,10,1034,,http://www.imdb.com/title/tt1798709/,"2014-01-28 15:55:38",yes,no,no,no
43,0,"Twelve Monkeys",1995,http://www.icheckmovies.com/movies/twelve+monkeys/,62126,5206,303,14,925,"12 Monkeys",http://www.imdb.com/title/tt0114746/,"2012-03-14 22:10:27",yes,no,no,no
44,0,Stalker,1979,http://www.icheckmovies.com/movies/stalker/,14134,2343,194,24,1166,,http://www.imdb.com/title/tt0079944/,"2012-03-14 22:10:06",yes,no,no,no
45,0,Akira,1988,http://www.icheckmovies.com/movies/akira/,30734,2997,245,23,955,,http://www.imdb.com/title/tt0094625/,"2012-03-14 22:10:26",yes,no,no,no
46,0,"Planet of the Apes",1968,http://www.icheckmovies.com/movies/planet+of+the+apes/,41689,1935,173,16,809,,http://www.imdb.com/title/tt0063442/,"2012-05-14 20:29:31",yes,no,no,no
47,0,"Kaze no tani no Naushika",1984,http://www.icheckmovies.com/movies/kaze+no+tani+no+naushika/,19583,2011,109,9,678,"Nausicaä of the Valley of the Wind",http://www.imdb.com/title/tt0087544/,"2012-03-14 22:10:26",yes,no,no,no
48,0,Avatar,2009,http://www.icheckmovies.com/movies/avatar/,113475,4825,3258,14,955,,http://www.imdb.com/title/tt0499549/,"2012-03-14 22:10:26",no,yes,no,no
49,0,Arrival,2016,http://www.icheckmovies.com/movies/arrival-2016/,21108,2582,163,10,750,,http://www.imdb.com/title/tt2543164/,"2017-02-12 20:37:06",yes,no,no,no
50,0,"Children of Men",2006,http://www.icheckmovies.com/movies/children+of+men/,62826,6150,496,14,1090,,http://www.imdb.com/title/tt0206634/,"2012-03-14 22:10:27",no,no,no,no
