rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
83,0,"The Hurt Locker",2008,http://www.icheckmovies.com/movies/the+hurt+locker/,45475,2329,559,13,773,,http://www.imdb.com/title/tt0887912/,"2012-03-14 22:10:21",no,no,no,no
84,0,"The King's Speech",2010,http://www.icheckmovies.com/movies/the+kings+speech/,66309,4822,333,14,771,,http://www.imdb.com/title/tt1504320/,"2012-03-14 22:10:08",yes,no,no,no
85,0,"The Artist",2011,http://www.icheckmovies.com/movies/the+artist-2011/,28489,2383,298,8,782,,http://www.imdb.com/title/tt1655442/,"2012-03-14 22:10:04",yes,no,no,no
86,0,Argo,2012,http://www.icheckmovies.com/movies/argo-2012/,34003,1891,298,8,635,,http://www.imdb.com/title/tt1024648/,"2013-01-18 01:16:37",no,no,no,no
87,0,"12 Years a Slave",2013,http://www.icheckmovies.com/movies/12+years+a+slave/,31247,2160,166,22,959,,http://www.imdb.com/title/tt2024544/,"2014-02-10 01:00:17",no,no,no,no
88,0,"Birdman or (The Unexpected Virtue of Ignorance)",2014,http://www.icheckmovies.com/movies/birdman+or+the+unexpected+virtue+of+ignorance/,28966,2865,340,8,891,,http://www.imdb.com/title/tt2562232/,"2015-01-29 20:59:02",yes,no,no,no
89,0,Spotlight,2015,http://www.icheckmovies.com/movies/spotlight-2015/,17470,1366,61,8,633,,http://www.imdb.com/title/tt1895587/,"2016-01-02 01:11:26",yes,no,no,no
90,0,Moonlight,2016,http://www.icheckmovies.com/movies/moonlight-2016/,13052,1140,119,12,758,,http://www.imdb.com/title/tt4975722/,"2017-02-26 22:02:36",no,no,no,no
91,0,"The Shape of Water",2017,http://www.icheckmovies.com/movies/the+shape+of+water-2017/,13396,891,197,8,551,,http://www.imdb.com/title/tt5580390/,"2018-03-12 16:23:31",no,no,no,no
92,0,"Green Book",2018,http://www.icheckmovies.com/movies/green+book/,10118,768,92,12,342,,http://www.imdb.com/title/tt6966692/,"2019-02-23 21:58:26",no,no,no,no
93,0,Gisaengchung,2019,http://www.icheckmovies.com/movies/gisaengchung/,14241,2297,40,23,815,Parasite,http://www.imdb.com/title/tt6751668/,"2019-12-29 02:59:23",no,no,no,no
94,0,Nomadland,2020,http://www.icheckmovies.com/movies/nomadland/,5174,333,65,10,382,,http://www.imdb.com/title/tt9770150/,"2021-04-26 04:13:01",yes,no,no,no
95,0,CODA,2021,http://www.icheckmovies.com/movies/coda-2021/,2863,265,29,6,214,,http://www.imdb.com/title/tt10366460/,"2023-08-22 00:35:28",no,no,no,no
96,0,"Everything Everywhere All at Once",2022,http://www.icheckmovies.com/movies/everything+everywhere+all+at+once/,7649,1004,130,9,459,,http://www.imdb.com/title/tt6710474/,"2022-07-13 16:18:14",yes,no,no,no
97,0,Oppenheimer,2023,http://www.icheckmovies.com/movies/oppenheimer-2023/,7354,594,47,12,349,,http://www.imdb.com/title/tt15398776/,"2023-07-26 15:49:50",no,no,no,no
98,,Anora,2024,http://www.icheckmovies.com/movies/anora/,2976,299,35,6,229,,http://www.imdb.com/title/tt28607951/,"2025-01-24 20:25:40",no,no,no,no
