rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
67,0,Underground,1995,http://www.icheckmovies.com/movies/underground/,5955,816,67,9,528,,http://www.imdb.com/title/tt0114787/,"2013-01-03 08:10:14",yes,no,no,no
68,0,"Secrets & Lies",1996,http://www.icheckmovies.com/movies/secrets+and+lies/,5812,649,31,15,605,,http://www.imdb.com/title/tt0117589/,"2020-01-01 01:10:20",no,no,no,no
69,0,"Ta'm e guilass",1997,http://www.icheckmovies.com/movies/tam+e+guilass/,4038,496,44,17,542,"Taste of Cherry",http://www.imdb.com/title/tt0120265/,"2012-03-14 22:10:13",yes,no,no,no
70,0,Unagi,1997,http://www.icheckmovies.com/movies/unagi/,813,65,6,4,166,"The Eel",http://www.imdb.com/title/tt0120408/,no,no,no,yes,no
71,0,"Mia aioniotita kai mia mera",1998,http://www.icheckmovies.com/movies/mia+aioniotita+kai+mia+mera/,1280,174,14,3,259,"Eternity and a Day",http://www.imdb.com/title/tt0156794/,"2012-03-14 22:10:06",no,no,no,no
72,0,Rosetta,1999,http://www.icheckmovies.com/movies/rosetta/,2535,272,30,9,412,,http://www.imdb.com/title/tt0200071/,no,no,no,yes,no
73,0,"Dancer in the Dark",2000,http://www.icheckmovies.com/movies/dancer+in+the+dark/,14149,1751,277,9,672,,http://www.imdb.com/title/tt0168629/,"2012-03-14 22:10:25",no,no,no,no
74,0,"La stanza del figlio",2001,http://www.icheckmovies.com/movies/la+stanza+del+figlio/,2348,187,20,9,242,"The Son's Room",http://www.imdb.com/title/tt0208990/,"2012-03-14 22:10:18",no,no,no,no
75,0,"The Pianist",2002,http://www.icheckmovies.com/movies/the+pianist/,69779,5676,222,22,1027,,http://www.imdb.com/title/tt0253474/,"2012-03-14 22:10:27",yes,no,no,no
76,0,Elephant,2003,http://www.icheckmovies.com/movies/elephant/,16546,1217,242,10,536,,http://www.imdb.com/title/tt0363589/,"2012-03-14 22:10:19",yes,no,no,no
77,0,"Fahrenheit 9/11",2004,http://www.icheckmovies.com/movies/fahrenheit+9slash11/,28919,632,285,9,280,,http://www.imdb.com/title/tt0361596/,"2015-03-13 04:43:42",no,no,no,no
78,0,L'enfant,2005,http://www.icheckmovies.com/movies/lenfant/,3610,210,38,8,340,"The Child",http://www.imdb.com/title/tt0456396/,"2012-03-14 22:10:18",no,no,no,no
79,0,"The Wind that Shakes the Barley",2006,http://www.icheckmovies.com/movies/the+wind+that+shakes+the+barley/,4808,352,31,2,263,,http://www.imdb.com/title/tt0460989/,"2012-03-14 22:10:20",no,no,no,no
