rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"The Shawshank Redemption",1994,http://www.icheckmovies.com/movies/the+shawshank+redemption/,114297,17276,402,24,1572,,http://www.imdb.com/title/tt0111161/,"2012-03-14 22:10:26",yes,no,no,no
2,0,"Schindler's List",1993,http://www.icheckmovies.com/movies/schindlers+list/,90865,8333,285,36,1593,,http://www.imdb.com/title/tt0108052/,"2012-03-14 22:10:26",yes,no,no,no
3,0,"Pulp Fiction",1994,http://www.icheckmovies.com/movies/pulp+fiction/,127949,20326,654,39,2273,,http://www.imdb.com/title/tt0110912/,"2012-03-14 22:10:26",yes,no,no,no
4,0,"Fight Club",1999,http://www.icheckmovies.com/movies/fight+club/,132955,21467,628,21,1781,,http://www.imdb.com/title/tt0137523/,"2012-03-14 22:10:26",yes,no,no,no
5,0,"Forrest Gump",1994,http://www.icheckmovies.com/movies/forrest+gump/,144493,12903,868,25,1387,,http://www.imdb.com/title/tt0109830/,"2012-03-14 22:10:26",no,no,no,no
6,0,"The Matrix",1999,http://www.icheckmovies.com/movies/the+matrix/,138176,13358,759,31,1773,,http://www.imdb.com/title/tt0133093/,"2012-03-14 22:10:26",yes,no,no,no
7,0,Goodfellas,1990,http://www.icheckmovies.com/movies/goodfellas/,77107,8594,218,32,1707,,http://www.imdb.com/title/tt0099685/,"2012-03-14 22:10:18",yes,no,no,no
8,0,Se7en,1995,http://www.icheckmovies.com/movies/se7en/,109048,11667,369,29,1550,,http://www.imdb.com/title/tt0114369/,"2012-03-14 22:10:06",yes,no,no,no
9,0,"The Silence of the Lambs",1991,http://www.icheckmovies.com/movies/the+silence+of+the+lambs/,109260,10017,273,38,1774,,http://www.imdb.com/title/tt0102926/,"2012-03-14 22:10:26",no,no,no,no
10,0,"The Green Mile",1999,http://www.icheckmovies.com/movies/the+green+mile/,91147,6883,360,15,826,,http://www.imdb.com/title/tt0120689/,"2012-03-14 22:10:26",no,no,no,no
11,0,"Saving Private Ryan",1998,http://www.icheckmovies.com/movies/saving+private+ryan/,101802,6951,439,29,1306,,http://www.imdb.com/title/tt0120815/,"2012-03-14 22:10:26",no,no,no,no
12,0,"La vita è bella",1997,http://www.icheckmovies.com/movies/la+vita+e+bella/,53812,5808,405,22,900,"Life Is Beautiful",http://www.imdb.com/title/tt0118799/,"2012-03-14 22:10:26",yes,no,no,no
13,0,"Terminator 2: Judgment Day",1991,http://www.icheckmovies.com/movies/terminator+2+judgment+day/,94263,6817,329,27,1384,,http://www.imdb.com/title/tt0103064/,"2012-03-14 22:10:27",yes,no,no,no
14,0,"The Usual Suspects",1995,http://www.icheckmovies.com/movies/the+usual+suspects/,74982,7803,330,24,1198,,http://www.imdb.com/title/tt0114814/,"2012-03-14 22:10:26",yes,no,no,no
15,0,Léon,1994,http://www.icheckmovies.com/movies/leon/,74208,8842,255,23,1079,"Léon: The Professional",http://www.imdb.com/title/tt0110413/,"2012-03-14 22:10:26",no,no,no,no
16,0,"American History X",1998,http://www.icheckmovies.com/movies/american+history+x/,84485,8001,274,12,829,,http://www.imdb.com/title/tt0120586/,"2012-03-14 22:10:26",no,no,no,no
