rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
105,-1,Orphée,1950,http://www.icheckmovies.com/movies/orphee/,3567,363,27,18,565,Orpheus,http://www.imdb.com/title/tt0041719/,"2012-03-14 22:10:14",yes,no,no,no
106,-1,8½,1963,http://www.icheckmovies.com/movies/8half/,19612,2354,293,36,1314,,http://www.imdb.com/title/tt0056801/,"2012-03-14 22:10:27",yes,no,no,no
107,-1,"All About Eve",1950,http://www.icheckmovies.com/movies/all+about+eve/,17650,2086,69,26,1197,,http://www.imdb.com/title/tt0042192/,"2012-03-14 22:10:04",no,no,no,no
108,-1,"Le charme discret de la bourgeoisie",1972,http://www.icheckmovies.com/movies/le+charme+discret+de+la+bourgeoisie/,7509,823,60,22,772,"The Discreet Charm of the Bourgeoisie",http://www.imdb.com/title/tt0068361/,"2012-03-14 22:10:25",yes,no,no,no
109,-1,"Duck Soup",1933,http://www.icheckmovies.com/movies/duck+soup/,15074,1328,210,26,931,,http://www.imdb.com/title/tt0023969/,"2012-03-14 22:10:04",no,no,no,no
110,-1,"The Producers",1967,http://www.icheckmovies.com/movies/the+producers/,14812,797,125,14,574,,http://www.imdb.com/title/tt0063462/,"2015-02-07 06:15:05",no,no,no,no
111,-1,Nashville,1975,http://www.icheckmovies.com/movies/nashville/,6510,618,99,21,783,,http://www.imdb.com/title/tt0073440/,"2015-10-20 05:46:52",no,no,no,no
112,-1,Jaws,1975,http://www.icheckmovies.com/movies/jaws/,91291,4141,417,29,1616,,http://www.imdb.com/title/tt0073195/,"2012-03-14 22:10:27",no,no,no,no
113,-1,Shane,1953,http://www.icheckmovies.com/movies/shane/,7729,325,97,18,604,,http://www.imdb.com/title/tt0046303/,"2012-06-09 21:57:00",no,no,no,no
114,-1,"Romeo and Juliet",1968,http://www.icheckmovies.com/movies/romeo+and+juliet/,11006,311,51,5,281,,http://www.imdb.com/title/tt0063518/,no,no,no,no,no
115,-1,Ran,1985,http://www.icheckmovies.com/movies/ran/,14068,1682,82,26,1017,,http://www.imdb.com/title/tt0089881/,"2012-05-08 20:31:40",no,no,no,no
116,-1,L'Atalante,1934,http://www.icheckmovies.com/movies/latalante/,4787,550,47,22,784,,http://www.imdb.com/title/tt0024844/,"2015-07-03 23:34:09",yes,no,no,no
117,-1,Network,1976,http://www.icheckmovies.com/movies/network/,22175,2383,112,15,1024,,http://www.imdb.com/title/tt0074958/,"2012-03-14 22:10:05",yes,no,no,no
118,-1,"Planes, Trains & Automobiles",1987,http://www.icheckmovies.com/movies/planes+trains+and+automobiles/,15067,848,78,4,355,,http://www.imdb.com/title/tt0093748/,"2012-03-14 22:10:04",no,no,no,no
119,-1,"Beat the Devil",1953,http://www.icheckmovies.com/movies/beat+the+devil/,1728,56,22,3,210,,http://www.imdb.com/title/tt0046414/,no,no,no,no,no
120,-1,"The Bank Dick",1940,http://www.icheckmovies.com/movies/the+bank+dick/,2257,102,52,8,284,,http://www.imdb.com/title/tt0032234/,no,no,no,no,no
121,-1,"A Christmas Story",1983,http://www.icheckmovies.com/movies/a+christmas+story/,30133,1564,329,5,462,,http://www.imdb.com/title/tt0085334/,"2012-03-14 22:10:05",no,no,no,no
122,-1,Persona,1966,http://www.icheckmovies.com/movies/persona/,15034,2305,148,25,1281,,http://www.imdb.com/title/tt0060827/,"2012-03-14 22:10:26",yes,no,no,no
123,-1,"This Is Spinal Tap",1984,http://www.icheckmovies.com/movies/this+is+spinal+tap/,32285,2560,174,22,801,,http://www.imdb.com/title/tt0088258/,"2012-03-14 22:10:09",no,no,no,no
124,-1,"The Conversation",1974,http://www.icheckmovies.com/movies/the+conversation/,15531,1685,82,23,969,,http://www.imdb.com/title/tt0071360/,"2012-06-05 07:23:52",yes,no,no,no
125,-1,"The Silence of the Lambs",1991,http://www.icheckmovies.com/movies/the+silence+of+the+lambs/,109260,10017,273,38,1774,,http://www.imdb.com/title/tt0102926/,"2012-03-14 22:10:26",no,no,no,no
126,-1,"Pather Panchali",1955,http://www.icheckmovies.com/movies/pather+panchali/,4476,652,36,22,859,,http://www.imdb.com/title/tt0048473/,"2019-01-04 05:15:36",yes,no,no,no
127,-1,Aparajito,1956,http://www.icheckmovies.com/movies/aparajito/,2718,327,20,15,514,"The Unvanquished",http://www.imdb.com/title/tt0048956/,"2019-01-06 12:18:54",yes,no,no,no
128,-1,"Apur Sansar",1959,http://www.icheckmovies.com/movies/apur+sansar/,2736,407,11,18,597,"The World of Apu",http://www.imdb.com/title/tt0052572/,"2019-01-07 04:59:43",yes,no,no,no
129,-1,Manhattan,1979,http://www.icheckmovies.com/movies/manhattan/,23399,2194,165,20,931,,http://www.imdb.com/title/tt0079522/,"2012-03-14 22:10:27",yes,no,no,no
130,-1,"Vivre sa vie: Film en douze tableaux",1962,http://www.icheckmovies.com/movies/vivre+sa+vie+film+en+douze+tableaux/,5385,705,49,12,579,"Vivre sa vie",http://www.imdb.com/title/tt0056663/,"2012-03-14 22:10:13",yes,no,no,no
131,-1,Fargo,1996,http://www.icheckmovies.com/movies/fargo/,67786,7000,370,27,1509,,http://www.imdb.com/title/tt0116282/,"2012-03-14 22:10:27",yes,no,no,no
132,-1,"The Maltese Falcon",1941,http://www.icheckmovies.com/movies/the+maltese+falcon/,24412,1941,124,26,1163,,http://www.imdb.com/title/tt0033870/,"2012-03-14 22:10:06",yes,no,no,no
133,-1,"Do the Right Thing",1989,http://www.icheckmovies.com/movies/do+the+right+thing/,18254,1795,129,25,981,,http://www.imdb.com/title/tt0097216/,"2012-03-14 22:10:05",yes,no,no,no
134,-1,"Pulp Fiction",1994,http://www.icheckmovies.com/movies/pulp+fiction/,127949,20326,654,39,2273,,http://www.imdb.com/title/tt0110912/,"2012-03-14 22:10:26",yes,no,no,no
135,-1,"Schindler's List",1993,http://www.icheckmovies.com/movies/schindlers+list/,90865,8333,285,36,1593,,http://www.imdb.com/title/tt0108052/,"2012-03-14 22:10:26",yes,no,no,no
136,-1,"Hoop Dreams",1994,http://www.icheckmovies.com/movies/hoop+dreams/,6979,597,31,17,567,,http://www.imdb.com/title/tt0110057/,no,no,no,no,no
137,-1,"The Apartment",1960,http://www.icheckmovies.com/movies/the+apartment/,22329,2965,84,29,1276,,http://www.imdb.com/title/tt0053604/,"2012-03-14 22:10:06",yes,no,no,no
138,-1,"Giulietta degli spiriti",1965,http://www.icheckmovies.com/movies/giulietta+degli+spiriti/,2763,202,33,10,379,"Juliet of the Spirits",http://www.imdb.com/title/tt0059229/,"2012-03-14 22:10:05",yes,no,no,no
139,-1,"Shichinin no samurai",1954,http://www.icheckmovies.com/movies/shichinin+no+samurai/,30118,4186,125,36,1606,"Seven Samurai",http://www.imdb.com/title/tt0047478/,"2012-03-14 22:10:06",yes,no,no,no
140,-1,"Lawrence of Arabia",1962,http://www.icheckmovies.com/movies/lawrence+of+arabia/,31827,2993,217,40,1474,,http://www.imdb.com/title/tt0056172/,"2012-03-14 22:10:06",no,no,no,no
141,-1,"Snow White and the Seven Dwarfs",1937,http://www.icheckmovies.com/movies/snow+white+and+the+seven+dwarfs/,78585,1565,169,23,952,,http://www.imdb.com/title/tt0029583/,"2012-03-14 22:10:25",yes,no,no,no
142,-1,"Bring Me the Head of Alfredo Garcia",1974,http://www.icheckmovies.com/movies/bring+me+the+head+of+alfredo+garcia/,3803,393,46,10,454,,http://www.imdb.com/title/tt0071249/,"2017-05-23 05:19:37",yes,no,no,no
143,-1,"Madame de...",1953,http://www.icheckmovies.com/movies/madame+de.../,3067,305,24,13,577,"The Earrings of Madame De...",http://www.imdb.com/title/tt0046022/,"2013-11-09 02:52:25",no,no,no,no
144,-1,"The Searchers",1956,http://www.icheckmovies.com/movies/the+searchers/,13572,1069,166,26,1176,,http://www.imdb.com/title/tt0049730/,"2012-03-14 22:10:06",no,no,no,no
145,-1,"Conte d'hiver",1992,http://www.icheckmovies.com/movies/conte+dhiver/,1138,62,13,4,216,"A Tale of Winter",http://www.imdb.com/title/tt0104008/,no,no,no,no,no
146,-1,"Tonari no Totoro",1988,http://www.icheckmovies.com/movies/tonari+no+totoro/,39847,4622,151,24,1070,"My Neighbor Totoro",http://www.imdb.com/title/tt0096283/,"2012-03-14 22:10:27",yes,no,no,no
147,-1,"Les enfants du paradis",1945,http://www.icheckmovies.com/movies/les+enfants+du+paradis/,4614,713,44,22,879,"Children of Paradise",http://www.imdb.com/title/tt0037674/,"2012-03-14 22:10:25",yes,no,no,no
148,-1,Laura,1944,http://www.icheckmovies.com/movies/laura/,8267,789,39,21,815,,http://www.imdb.com/title/tt0037008/,"2012-03-14 22:10:06",no,no,no,no
149,-1,"King Kong",1933,http://www.icheckmovies.com/movies/king+kong/,27965,1080,105,27,1126,,http://www.imdb.com/title/tt0024216/,"2012-03-14 22:10:06",no,no,no,no
150,-1,"Say Anything...",1989,http://www.icheckmovies.com/movies/say+anything.../,12579,903,71,3,347,"Say Anything",http://www.imdb.com/title/tt0098258/,"2017-03-26 06:09:11",no,no,no,no
151,-1,"La chute de la maison Usher",1928,http://www.icheckmovies.com/movies/la+chute+de+la+maison+usher/,1594,136,20,10,345,"The Fall of the House of Usher",http://www.imdb.com/title/tt0018770/,"2020-01-20 00:02:16",no,no,no,no
152,-1,"The Right Stuff",1983,http://www.icheckmovies.com/movies/the+right+stuff/,7654,491,44,13,523,,http://www.imdb.com/title/tt0086197/,"2016-12-15 18:42:02",yes,no,no,no
153,-1,Patton,1970,http://www.icheckmovies.com/movies/patton/,14602,840,60,13,668,,http://www.imdb.com/title/tt0066206/,"2015-02-11 19:15:10",yes,no,no,no
154,-1,"The Grapes of Wrath",1940,http://www.icheckmovies.com/movies/the+grapes+of+wrath/,15899,1037,112,25,919,,http://www.imdb.com/title/tt0032551/,"2012-05-10 05:51:54",no,no,no,no
155,-1,Amadeus,1984,http://www.icheckmovies.com/movies/amadeus/,48677,4413,197,23,1049,,http://www.imdb.com/title/tt0086879/,"2012-03-14 22:10:27",yes,no,no,no
156,-1,"Umberto D.",1952,http://www.icheckmovies.com/movies/umberto+d./,5267,708,34,17,666,,http://www.imdb.com/title/tt0045274/,"2015-03-29 18:34:24",yes,no,no,no
157,-1,JFK,1991,http://www.icheckmovies.com/movies/jfk/,20438,1020,118,14,667,,http://www.imdb.com/title/tt0102138/,"2015-12-27 19:29:40",no,no,no,no
158,-1,"Annie Hall",1977,http://www.icheckmovies.com/movies/annie+hall/,40460,4453,384,35,1427,,http://www.imdb.com/title/tt0075686/,"2012-03-14 22:10:27",yes,no,no,no
159,-1,Rashômon,1950,http://www.icheckmovies.com/movies/rashomon/,21779,2519,122,34,1355,Rashomon,http://www.imdb.com/title/tt0042876/,"2012-03-14 22:10:27",no,no,no,no
160,-1,"In Cold Blood",1967,http://www.icheckmovies.com/movies/in+cold+blood/,4282,337,25,9,424,,http://www.imdb.com/title/tt0061809/,"2012-03-14 22:10:05",yes,no,no,no
161,-1,"The Hustler",1961,http://www.icheckmovies.com/movies/the+hustler/,11886,888,56,15,783,,http://www.imdb.com/title/tt0054997/,"2012-03-14 22:10:06",no,no,no,no
162,-1,Stroszek,1977,http://www.icheckmovies.com/movies/stroszek/,2907,371,24,6,416,,http://www.imdb.com/title/tt0075276/,"2012-03-14 22:10:05",no,no,no,no
163,-1,Unforgiven,1992,http://www.icheckmovies.com/movies/unforgiven/,35663,2891,166,26,1157,,http://www.imdb.com/title/tt0105695/,"2012-03-14 22:10:06",yes,no,no,no
164,-1,"Horí, má panenko",1967,http://www.icheckmovies.com/movies/hori+ma+panenko/,2490,215,31,11,354,"The Firemen's Ball",http://www.imdb.com/title/tt0061781/,no,no,no,no,no
