rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
219,0,Fehérlófia,1981,http://www.icheckmovies.com/movies/feherlofia/,685,99,10,6,257,"Son of the White Mare",http://www.imdb.com/title/tt0083931/,"2012-03-14 22:10:17",yes,no,no,no
220,0,"Only Lovers Left Alive",2013,http://www.icheckmovies.com/movies/only+lovers+left+alive/,6835,927,87,5,436,,http://www.imdb.com/title/tt1714915/,"2014-12-10 05:32:05",yes,no,no,no
221,0,"Suzumiya Haruhi no shôshitsu",2010,http://www.icheckmovies.com/movies/suzumiya+haruhi+no+shoshitsu/,886,126,9,2,126,"The Disappearance of Haruhi Suzumiya",http://www.imdb.com/title/tt1572781/,"2012-03-14 22:10:06",yes,no,no,no
222,0,"Kong bu fen zi",1986,http://www.icheckmovies.com/movies/kong+bu+fen+zi/,797,114,7,8,237,"The Terrorizers",http://www.imdb.com/title/tt0091355/,no,no,no,no,no
223,0,"Ma nuit chez Maud",1969,http://www.icheckmovies.com/movies/ma+nuit+chez+maud/,2923,400,21,14,601,"My Night at Maud's",http://www.imdb.com/title/tt0064612/,"2016-08-27 05:20:52",yes,no,no,no
224,0,"Wandafuru raifu",1998,http://www.icheckmovies.com/movies/wandafuru+raifu/,1749,242,12,9,351,"After Life",http://www.imdb.com/title/tt0165078/,no,no,no,yes,no
225,0,"What We Do in the Shadows",2014,http://www.icheckmovies.com/movies/what+we+do+in+the+shadows/,12076,1631,62,7,568,,http://www.imdb.com/title/tt3416742/,"2015-02-04 17:35:37",yes,no,no,no
226,0,Capharnaüm,2018,http://www.icheckmovies.com/movies/capharnaum/,2575,353,20,8,286,Capernaum,http://www.imdb.com/title/tt8267604/,"2024-12-26 23:15:52",yes,no,no,no
227,0,"Harold and Maude",1971,http://www.icheckmovies.com/movies/harold+and+maude/,15937,2147,152,21,776,,http://www.imdb.com/title/tt0067185/,"2012-07-01 05:57:04",no,no,no,no
228,0,"Nuovo Cinema Paradiso",1988,http://www.icheckmovies.com/movies/nuovo+cinema+paradiso/,22688,3052,149,20,927,"Cinema Paradiso",http://www.imdb.com/title/tt0095765/,"2012-03-14 22:10:27",no,no,no,no
229,0,"La classe américaine",1993,http://www.icheckmovies.com/movies/la+classe+americaine/,494,73,7,1,89,,http://www.imdb.com/title/tt0321715/,no,no,no,no,no
230,0,Jibeuro,2002,http://www.icheckmovies.com/movies/jibeuro/,390,59,4,2,100,"The Way Home",http://www.imdb.com/title/tt0312841/,no,no,no,no,no
231,0,"C'eravamo tanto amati",1974,http://www.icheckmovies.com/movies/ceravamo+tanto+amati/,868,123,4,5,253,"We All Loved Each Other So Much",http://www.imdb.com/title/tt0075793/,no,no,no,no,no
232,0,Angst,1983,http://www.icheckmovies.com/movies/angst/,1398,194,20,5,360,,http://www.imdb.com/title/tt0165623/,"2012-03-14 22:10:05",yes,no,no,no
233,0,"Mary and Max.",2009,http://www.icheckmovies.com/movies/mary+and+max./,19655,2640,147,9,556,"Mary and Max",http://www.imdb.com/title/tt0978762/,"2012-03-14 22:10:26",yes,no,no,no
234,0,"Kind Hearts and Coronets",1949,http://www.icheckmovies.com/movies/kind+hearts+and+coronets/,6832,921,32,22,705,,http://www.imdb.com/title/tt0041546/,"2012-05-08 20:31:40",yes,no,no,no
235,0,"PNYC: Portishead - Roseland New York",1997,http://www.icheckmovies.com/movies/pnyc+portishead+-+roseland+new+york/,107,21,1,1,26,,http://www.imdb.com/title/tt0133157/,no,no,no,no,no
236,0,"Fanny och Alexander",1982,http://www.icheckmovies.com/movies/fanny+och+alexander/,9490,1276,88,26,1032,"Fanny and Alexander",http://www.imdb.com/title/tt0083922/,"2012-03-14 22:10:26",yes,no,no,no
237,0,Sedmikrásky,1966,http://www.icheckmovies.com/movies/sedmikrasky/,3466,470,83,19,529,Daisies,http://www.imdb.com/title/tt0060959/,"2012-03-14 22:10:06",yes,no,no,no
238,0,"3 Women",1977,http://www.icheckmovies.com/movies/3+women/,3100,421,18,8,425,,http://www.imdb.com/title/tt0075612/,no,no,no,no,no
239,0,"Die andere Heimat: Chronik einer Sehnsucht",2013,http://www.icheckmovies.com/movies/die+andere+heimat+chronik+einer+sehnsucht/,197,33,6,4,148,"Home from Home: Chronicle of a Vision",http://www.imdb.com/title/tt1998204/,no,no,no,no,no
240,0,"The Night of the Hunter",1955,http://www.icheckmovies.com/movies/the+night+of+the+hunter/,15023,2013,130,34,1302,,http://www.imdb.com/title/tt0048424/,"2012-03-14 22:10:06",yes,no,no,no
241,0,Shinboru,2009,http://www.icheckmovies.com/movies/shinboru/,557,81,10,2,169,Symbol,http://www.imdb.com/title/tt1410261/,no,no,no,yes,no
242,0,"Punishment Park",1971,http://www.icheckmovies.com/movies/punishment+park/,1277,177,15,6,256,,http://www.imdb.com/title/tt0067633/,no,no,no,yes,no
243,0,"O fovos",1966,http://www.icheckmovies.com/movies/o+fovos-1966/,145,26,3,3,166,"The Fear",http://www.imdb.com/title/tt0144935/,no,no,no,no,no
244,0,"Song of the Sea",2014,http://www.icheckmovies.com/movies/song+of+the+sea-2014/,4928,663,23,7,359,,http://www.imdb.com/title/tt1865505/,"2015-03-18 22:18:23",yes,no,no,no
245,0,"Umberto D.",1952,http://www.icheckmovies.com/movies/umberto+d./,5267,708,34,17,666,,http://www.imdb.com/title/tt0045274/,"2015-03-29 18:34:24",yes,no,no,no
246,0,Smultronstället,1957,http://www.icheckmovies.com/movies/smultronstallet/,12947,1727,93,24,1022,"Wild Strawberries",http://www.imdb.com/title/tt0050986/,"2012-03-14 22:10:26",yes,no,no,no
247,0,"C'est pas moi, je le jure!",2008,http://www.icheckmovies.com/movies/cest+pas+moi+je+le+jureexclamation/,334,51,2,3,109,"It's Not Me, I Swear!",http://www.imdb.com/title/tt1163752/,no,no,no,no,no
248,0,"Ashes and Snow",2005,http://www.icheckmovies.com/movies/ashes+and+snow/,410,61,5,1,122,,http://www.imdb.com/title/tt0493393/,"2012-03-14 22:10:08",yes,no,no,no
249,0,Dominion,2018,http://www.icheckmovies.com/movies/dominion-2018/,131,24,4,1,54,,http://www.imdb.com/title/tt5773402/,no,no,no,no,no
250,0,"The Apartment",1960,http://www.icheckmovies.com/movies/the+apartment/,22329,2965,84,29,1276,,http://www.imdb.com/title/tt0053604/,"2012-03-14 22:10:06",yes,no,no,no
