rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1270,0,"The War of the Worlds",1953,http://www.icheckmovies.com/movies/the+war+of+the+worlds/,6028,151,55,6,307,,http://www.imdb.com/title/tt0046534/,"2012-07-05 07:09:12",no,no,no,no
1271,0,"Marriage Story",2019,http://www.icheckmovies.com/movies/marriage+story/,7422,709,44,4,397,,http://www.imdb.com/title/tt7653254/,"2019-12-21 03:59:04",yes,no,no,no
1272,0,"Town Bloody Hall",1979,http://www.icheckmovies.com/movies/town+bloody+hall/,130,8,0,1,24,,http://www.imdb.com/title/tt0217853/,no,no,no,no,no
1273,0,Toni,1935,http://www.icheckmovies.com/movies/toni/,665,39,5,8,239,,http://www.imdb.com/title/tt0025898/,no,no,no,no,no
1274,0,"The Comfort of Strangers",1990,http://www.icheckmovies.com/movies/the+comfort+of+strangers/,524,25,13,2,104,,http://www.imdb.com/title/tt0099292/,no,no,no,no,no
1275,0,"Beau travail",1999,http://www.icheckmovies.com/movies/beau+travail/,3075,330,42,14,595,,http://www.imdb.com/title/tt0209933/,no,no,no,no,no
1276,0,"Cristo si è fermato a Eboli",1979,http://www.icheckmovies.com/movies/cristo+si+e+fermato+a+eboli/,452,29,6,5,176,"Christ Stopped at Eboli",http://www.imdb.com/title/tt0079010/,no,no,no,no,no
1277,0,Lucía,1968,http://www.icheckmovies.com/movies/lucia/,517,32,5,5,252,,http://www.imdb.com/title/tt0064609/,no,no,no,no,no
1278,0,"Lewat Djam Malam",1954,http://www.icheckmovies.com/movies/lewat+djam+malam/,141,9,1,1,49,"After the Curfew",http://www.imdb.com/title/tt0045997/,no,no,no,no,no
1279,0,"Pixote: A Lei do Mais Fraco",1980,http://www.icheckmovies.com/movies/pixote+a+lei+do+mais+fraco/,1271,146,11,7,298,Pixote,http://www.imdb.com/title/tt0082912/,no,no,no,no,no
1280,0,"Dos monjes",1934,http://www.icheckmovies.com/movies/dos+monjes/,202,11,1,2,64,"Two Monks",http://www.imdb.com/title/tt0025062/,no,no,no,no,no
1281,0,"Soleil Ô",1967,http://www.icheckmovies.com/movies/soleil+o/,311,17,1,4,140,"Oh, Sun",http://www.imdb.com/title/tt0062285/,no,no,no,no,no
1282,0,Ragbar,1972,http://www.icheckmovies.com/movies/ragbar/,142,6,1,2,62,Downpour,http://www.imdb.com/title/tt0067649/,no,no,no,no,no
1283,0,"The Elephant Man",1980,http://www.icheckmovies.com/movies/the+elephant+man/,31535,2404,102,16,948,,http://www.imdb.com/title/tt0080678/,"2012-03-14 22:10:27",yes,no,no,no
1284,0,Claudine,1974,http://www.icheckmovies.com/movies/claudine/,243,17,1,2,88,,http://www.imdb.com/title/tt0071334/,no,no,no,no,no
1285,0,"The Gunfighter",1950,http://www.icheckmovies.com/movies/the+gunfighter/,2020,196,7,8,341,,http://www.imdb.com/title/tt0042531/,no,no,no,no,no
1286,0,Gisaengchung,2019,http://www.icheckmovies.com/movies/gisaengchung/,14241,2297,40,23,815,Parasite,http://www.imdb.com/title/tt6751668/,"2019-12-29 02:59:23",no,no,no,no
1287,0,Girlfriends,1978,http://www.icheckmovies.com/movies/girlfriends/,676,55,8,6,200,,http://www.imdb.com/title/tt0077613/,no,no,no,no,no
1288,0,Moonstruck,1987,http://www.icheckmovies.com/movies/moonstruck/,10374,438,116,10,420,,http://www.imdb.com/title/tt0093565/,"2012-03-30 00:45:44",no,no,no,no
1289,0,"Ghost Dog: The Way of the Samurai",1999,http://www.icheckmovies.com/movies/ghost+dog+the+way+of+the+samurai/,8438,860,66,7,348,,http://www.imdb.com/title/tt0165798/,no,no,no,no,no
1290,0,"The Irishman",2019,http://www.icheckmovies.com/movies/the+irishman/,7978,585,62,7,409,,http://www.imdb.com/title/tt1302006/,"2019-11-28 00:54:07",no,no,no,no
1291,0,Crash,1996,http://www.icheckmovies.com/movies/crash-1996/,8337,416,187,10,467,,http://www.imdb.com/title/tt0115964/,"2015-01-21 18:27:27",yes,no,no,no
1292,0,"Amores perros",2000,http://www.icheckmovies.com/movies/amores+perros/,24694,2334,150,16,740,,http://www.imdb.com/title/tt0245712/,"2012-03-14 22:10:27",no,no,no,no
1293,0,"Minding the Gap",2018,http://www.icheckmovies.com/movies/minding+the+gap/,959,97,5,3,182,,http://www.imdb.com/title/tt7476236/,no,no,no,no,no
1294,0,"Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese",2019,http://www.icheckmovies.com/movies/rolling+thunder+revue+a+bob+dylan+story+by+martin+scorsese/,597,35,2,1,63,,http://www.imdb.com/title/tt9577852/,"2019-11-17 04:54:10",no,no,no,no
